"SKU1","SKU2","correlation"
"100000198663","136360",0.712631416759034
"136360","100000198663",0.712631416759034
"51382064682","100000198663",0.709499037276773
"100000198663","51382064682",0.709499037276773
"51382064682","136360",0.703600548395314
"136360","51382064682",0.703600548395314
"100000198663","7265743",0.694307952297858
"7265743","100000198663",0.694307952297858
"51382064682","7265743",0.688221622115352
"7265743","51382064682",0.688221622115352
"100000198663","7824307",0.644499448959517
"7824307","100000198663",0.644499448959517
"7265743","136360",0.632105837643219
"136360","7265743",0.632105837643219
"136360","7824307",0.570389702387649
"7824307","136360",0.570389702387649
"7265743","7824307",0.550958570616687
"7824307","7265743",0.550958570616687
"51382064682","7824307",0.518014151520416
"7824307","51382064682",0.518014151520416
"3567887","100000198663",0.405252617388017
"100000198663","3567887",0.405252617388017
"3567887","136360",0.354840389801806
"136360","3567887",0.354840389801806
"3567887","51382064682",0.350938782824826
"51382064682","3567887",0.350938782824826
"3567887","7265743",0.341763608814697
"7265743","3567887",0.341763608814697
"3567887","7824307",0.24923326355855
"7824307","3567887",0.24923326355855
